frame,bin,real,imag,magnitude,phase_deg
9,8,-0.482716,-0.277096,0.556594,-150.14
9,9,-0.343346,-0.423882,0.545492,-129.01
9,10,-0.317902,0.462872,0.561526,124.48
9,11,0.081776,0.449348,0.456729,79.69
9,12,-0.454247,0.398727,0.604420,138.72
9,13,-0.051426,0.214973,0.221039,103.45
9,14,0.060699,-0.452297,0.456352,-82.36
9,15,0.306446,0.146751,0.339772,25.59
9,16,-0.126640,0.185940,0.224970,124.26
9,17,0.107040,0.002647,0.107073,1.42
9,18,-0.346279,-0.028553,0.347454,-175.29
9,19,-0.408371,0.114521,0.424125,164.33
9,20,0.000000,0.000000,0.000000,0.00
10,0,0.485458,-0.156281,0.509994,-17.84
10,1,0.083454,-0.091743,0.124022,-47.71
10,2,-0.324448,-0.060574,0.330054,-169.42
10,3,0.204784,0.120403,0.237558,30.45
10,4,0.165535,-0.195713,0.256331,-49.78
10,5,0.254311,-0.077343,0.265812,-16.92
10,6,-0.108074,-0.235233,0.258872,-114.68
10,7,0.028759,-0.134533,0.137572,-77.93
10,8,-0.482719,0.222660,0.531597,155.24
10,9,-0.339439,-0.424828,0.543781,-128.63
10,10,-0.317902,0.464825,0.563137,124.37
10,11,0.081776,-0.050652,0.096192,-31.77
10,12,-0.454247,0.398727,0.604420,138.72
10,13,-0.043858,0.215950,0.220359,101.48
10,14,0.029938,-0.452789,0.453778,-86.22
10,15,0.431446,0.146751,0.455721,18.79
10,16,-0.126640,0.178127,0.218557,125.41
10,17,0.107040,0.127647,0.166588,50.02
10,18,-0.315029,-0.028553,0.316320,-174.82
10,19,-0.408363,0.113544,0.423855,164.46
10,20,0.000000,0.000000,0.000000,0.00
11,0,-0.014542,-0.156277,0.156952,-95.32
11,1,0.333450,-0.091682,0.345825,-15.37
11,2,0.175674,-0.185574,0.255537,-46.57
11,3,0.204296,0.120396,0.237133,30.51
11,4,-0.459465,-0.195713,0.499411,-156.93
11,5,0.254311,-0.077831,0.265954,-17.02
11,6,-0.108044,-0.235233,0.258859,-114.67
11,7,0.114697,-0.134533,0.176789,-49.55
11,8,-0.482716,0.222904,0.531696,155.21
11,9,-0.343346,-0.423882,0.545492,-129.01
11,10,-0.333527,0.462872,0.570517,125.78
11,11,0.081776,0.451302,0.458651,79.73
11,12,-0.454247,0.390915,0.599295,139.29
11,13,-0.059238,0.214973,0.222986,105.41
11,14,0.060699,-0.452545,0.456598,-82.36
11,15,0.431446,0.144798,0.455096,18.55
11,16,-0.126640,0.178127,0.218557,125.41
11,17,0.122787,0.002640,0.122816,1.23
11,18,-0.346279,-0.027576,0.347375,-175.45
11,19,-0.408363,0.113544,0.423855,164.46
11,20,0.000000,0.000000,0.000000,0.00
12,0,0.485397,-0.160183,0.511145,-18.26
12,1,0.333454,-0.091774,0.345853,-15.39
12,2,0.175552,-0.060574,0.185709,-19.04
12,3,0.140820,0.120396,0.185271,40.53
12,4,-0.459465,-0.195713,0.499411,-156.93
12,5,0.254311,-0.077343,0.265812,-16.92
12,6,-0.108044,-0.239140,0.262414,-114.31
12,7,0.052189,-0.134594,0.144358,-68.81
12,8,-0.482719,0.222660,0.531597,155.24
12,9,-0.343346,-0.422874,0.544710,-129.07
12,10,-0.313995,0.464825,0.560941,124.04
12,11,0.081776,-0.050652,0.096192,-31.77
12,12,0.037956,0.390915,0.392753,84.45
12,13,-0.051670,0.216927,0.222995,103.40
12,14,0.029449,-0.452297,0.453255,-86.27
12,15,0.431446,0.146751,0.455721,18.79
12,16,-0.126152,0.178127,0.218274,125.31
12,17,0.107040,0.127647,0.166588,50.02
12,18,-0.346279,-0.028553,0.347454,-175.29
12,19,-0.408371,0.113544,0.423862,164.46
12,20,0.000000,0.000000,0.000000,0.00
13,0,-0.077103,-0.156281,0.174265,-116.26
13,1,0.083450,0.470787,0.478126,79.95
13,2,-0.324448,-0.060802,0.330096,-169.39
13,3,0.203320,0.089146,0.222004,23.68
13,4,-0.459465,-0.195713,0.499411,-156.93
13,5,0.285561,-0.077358,0.295853,-15.16
13,6,-0.233074,-0.239140,0.333933,-134.26
13,7,0.060001,-0.134533,0.147307,-65.96
13,8,-0.482716,0.222904,0.531696,155.21
13,9,-0.323814,-0.422874,0.532615,-127.44
13,10,-0.317902,0.464825,0.563137,124.37
13,11,0.081776,0.449348,0.456729,79.69
13,12,0.037941,0.398727,0.400528,84.56
13,13,-0.053623,0.217903,0.224404,103.83
13,14,0.060703,-0.452789,0.456840,-82.36
13,15,0.400196,0.144798,0.425586,19.89
13,16,-0.126640,0.177883,0.218358,125.45
13,17,0.122665,0.010460,0.123111,4.87
13,18,-0.346279,-0.028553,0.347454,-175.29
13,19,-0.408363,0.113544,0.423855,164.46
13,20,0.000000,0.000000,0.000000,0.00
14,0,0.485584,-0.160187,0.511324,-18.26
14,1,0.333454,-0.091743,0.345845,-15.38
14,2,0.175552,-0.060574,0.185709,-19.04
14,3,0.140820,0.120396,0.185271,40.53
14,4,0.165535,-0.195713,0.256331,-49.78
14,5,0.254311,-0.077343,0.265812,-16.92
14,6,-0.233044,-0.239140,0.333912,-134.26
14,7,0.020939,-0.134533,0.136153,-81.15
14,8,-0.478813,0.222904,0.528156,155.04
14,9,-0.343346,-0.424858,0.546251,-128.94
14,10,-0.317902,0.464825,0.563137,124.37
14,11,0.081776,-0.048698,0.095178,-30.77
14,12,0.035988,0.398727,0.400348,84.84
14,13,-0.053379,0.216927,0.223398,103.82
14,14,0.030426,-0.452789,0.453810,-86.16
14,15,0.306446,0.144798,0.338933,25.29
14,16,-0.126640,0.177883,0.218358,125.45
14,17,0.122787,0.127647,0.177118,46.11
14,18,-0.315029,-0.028553,0.316320,-174.82
14,19,-0.408371,0.489521,0.637493,129.84
14,20,0.000000,0.000000,0.000000,0.00
